The log posterior (log prior - log likelihood) at the mode is     -16.129.

   params  starting_value  active  rank  proposal_scale  thetamode  thetamean     sehess
0     A11        0.190971     1.0     1        0.003125  -0.022299   -0.33802    0.57656
2     A21        3.247931     1.0     2        0.003125     3.7023     4.1768    0.66989
1     A12        0.036028     1.0     3        0.003125   -0.10626   -0.13977    0.18699
3     A22        0.084861     1.0     4        0.003125   -0.59522    0.44004    0.73099
4     C11        0.000013     1.0     5        0.003125    0.38884    0.89551    0.84733
6     C21       -0.053939     1.0     6        0.003125   -0.52532    -1.4516     0.6323
5     C12        0.000000     0.0     7        0.003125          0          0          0
7     C22        0.081298     1.0     8        0.003125    0.58868     1.3821    0.76563
24    rho        0.783338     1.0     9        0.003125   -0.17099    0.19528    0.51087
25  sigma        0.001111     1.0    10        0.000031  0.0049927  0.0060516  0.0033696
12   l_01        0.050635     1.0    11        0.003125    -1.7268    -1.4511    0.72344
13   l_02        0.050279     1.0    12        0.003125    0.60046  -0.054297    0.92901
14   l_03       -0.045232     1.0    13        0.003125    -1.3564    -1.6306    0.85348
18  l_y11        0.000000     0.0    14        0.003125          0          0          0
19  l_y12        0.000000     0.0    15        0.003125          0          0          0
20  l_y21        0.000000     0.0    16        0.003125          0          0          0
21  l_y22        0.000000     0.0    17        0.003125          0          0          0
22  l_y31        0.000000     0.0    18        0.003125          0          0          0
23  l_y32        0.000000     0.0    19        0.003125          0          0          0
15   l_x1       -0.012657     1.0    20        0.003125    -1.9829    -1.9265    0.86742
16   l_x2        0.001367     1.0    21        0.003125    -0.6085  0.0021982     1.3579
17   l_x3        0.025826     1.0    22        0.003125    -1.3165   -0.82267    0.82178
8     d_0       -0.057942     1.0    23        0.003125   -0.19561     0.5053     1.1089
10   d_y1        0.017122     1.0    24        0.003125     1.6786    0.81364    0.58025
11   d_y2       -0.036164     1.0    25        0.003125    0.24355   -0.37699    0.65186
9     d_x        0.019526     1.0    26        0.003125    -1.0017   -0.54877    0.87507
