smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
-0.000321809,7.59702e-19,1.56013e-05,0.00187847,0.0278795,0.0042079
-0.00861677,1.04188e-17,-0.00861677,1.04188e-17,0.00305297,-0.00461741
-0.0106594,6.42898e-06,-0.0106812,3.5734e-05,0.00953623,0.0161789
-0.00964732,0.000304244,-0.00907622,0.0010211,-0.0063272,-0.0370385
-0.00823619,0.000576402,-0.00758508,0.00139033,-0.0570385,-0.0303392
-0.0057144,0.000457956,-0.00632856,0.00154701,0.00337408,0.0364841
-0.00444656,0.000473113,-0.00531574,0.00166215,-0.00118658,-0.00190268
-0.0026653,0.000364106,-0.00443881,0.00169829,0.0278795,0.0042079
-0.00183237,0.00046756,-0.00356371,0.00176168,0.00352751,0.0122246
-0.00137402,0.000398378,-0.0030019,0.00179617,-0.00868679,-0.0231744
0.000332789,0.00050722,-0.00243695,0.0017438,-0.0431744,-0.025062
-8.26339e-05,0.000358935,-0.00187844,0.00178855,0.00239966,0.0341952
-0.000437152,0.000291199,-0.00166005,0.00173876,-0.0212992,-0.000416141
8.21549e-05,0.000193426,-0.00124314,0.00179143,-0.00118658,-0.00190268
0.000838723,9.0288e-05,-0.000998429,0.0018492,0.00363139,0.0119574
0.00133915,0.000361015,-0.000778415,0.00192337,-0.00904147,-0.0245134
0.00157753,0.000237562,-0.000745602,0.00183412,-0.0445134,-0.0250747
0.000184373,0.000152689,-0.000685374,0.00197679,0.00213636,0.034026
0.00244247,0.000486195,-0.000641077,0.0018967,0.0250057,0.00268877
0.00296153,0.000580813,-0.00049828,0.00194881,-0.0212992,-0.000416141
0.00135154,0.000414005,-0.000481174,0.00193932,0.00786734,0.0150464
0.00113691,0.00052923,-0.000512097,0.00194792,-0.00702262,-0.0333426
0.000994853,0.000129385,-0.000559025,0.0018916,-0.0533426,-0.0288573
0.00194287,0.000386393,-0.000317991,0.00189299,0.00307123,0.0358313
0.00495509,0.00103904,-0.000353474,0.00183149,0.0498287,-0.00218712
0.00502162,0.0010323,-0.000201223,0.00178579,0.0250057,0.00268877
0.00557986,0.00105719,-4.36864e-05,0.00193834,0.00913368,0.0169912
0.00530158,0.00101945,5.64429e-05,0.00193691,-0.00520898,-0.033448
0.00508282,0.00110241,2.09226e-05,0.00201559,-0.053448,-0.0300708
0.00285234,0.000737437,-9.37092e-06,0.00207045,0.00413476,0.037088
0.0018306,0.000435581,1.08784e-05,0.00207414,-0.0551515,-0.0170106
0.00122681,0.00055986,-3.86386e-05,0.00185669,0.0498287,-0.00218712
0.001539,0.000539575,9.63524e-05,0.00194988,-8.63125e-05,0.0110414
0.000696234,0.000471407,0.000211085,0.00186989,-0.00868919,-0.0119765
0.000810459,0.000581158,0.00019954,0.00189386,-0.0319765,-0.0219646
-0.000416498,0.000567422,-4.2889e-05,0.00186853,0.00272209,0.033668
-9.6666e-05,0.000707301,4.77545e-05,0.00182404,-0.0751853,-0.00988445
0.000157191,0.000623165,5.57872e-05,0.00184366,-0.0551515,-0.0170106
0.00113649,0.000846395,0.000108203,0.00187621,0.00317603,0.0131628
0.000255458,0.000682444,0.000199864,0.00186461,-0.00742155,-0.021754
0.000731839,0.000652067,0.000135503,0.00187798,-0.041754,-0.0244072
0.00148719,0.000444723,0.000165678,0.00181635,0.00304647,0.0351115
0.00145068,0.000481618,0.000231712,0.0018768,-0.0757037,-0.0050548
0.00163595,0.000562438,0.000271706,0.00188467,-0.0751853,-0.00988445
0.00217869,0.000533823,0.000313212,0.00193459,0.000889367,0.0125106
0.00172999,0.000762664,0.000290846,0.00177265,-0.00728246,-0.0178614
0.00171418,0.000633438,5.23158e-05,0.00182244,-0.0378614,-0.021795
-0.000157554,0.000146396,-8.78478e-05,0.00188003,0.00303408,0.0351888
0.000357244,0.000216879,-4.39943e-05,0.00178682,-0.0167176,-0.00504204
0.00132178,0.000291045,-0.000234611,0.00182365,-0.0757037,-0.0050548
0.00329693,0.000650815,-0.000221358,0.00187933,0.00518378,0.0136421
0.0029222,0.000839609,-0.00011662,0.00199208,-0.00764478,-0.0266527
0.00279854,0.000792196,-7.54137e-05,0.00208743,-0.0466527,-0.0264529
0.00373674,0.000728937,-0.000145511,0.0020966,0.00287994,0.035103
0.0052251,0.00112684,-0.000111058,0.00215363,-0.0402956,-0.00387379
0.00496403,0.000850827,-0.000178545,0.00200697,-0.0167176,-0.00504204
0.00339733,0.000723822,-3.43679e-07,0.00195084,0.00273511,0.0115103
0.00284685,0.000408882,1.03879e-05,0.0018675,-0.00922412,-0.0221259
0.00342124,0.000607146,-3.7672e-05,0.00189857,-0.0421259,-0.0242925
0.00286435,0.000716174,9.88285e-05,0.00176992,0.00209763,0.0337882
