smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
-0.0159171,1.83973e-16,-0.0159171,1.83973e-16,0.0205427
-0.00739338,0.00326527,-0.00412205,0.00223764,0.00484101
-0.00391689,0.00373922,-0.00107889,0.00240718,0.0139068
-0.00248655,0.00393995,-0.000318729,0.00229259,-0.0040537
-0.00233631,0.00364583,-0.000199396,0.00241189,-0.00563336
-0.000878466,0.00274394,4.87446e-05,0.00232316,-0.0144366
-0.000661076,0.00173355,-5.61022e-05,0.00215521,-0.0174027
0.000146582,0.00326619,-0.000178881,0.00237986,-0.00243902
0.00131229,0.00443632,-6.08061e-05,0.00245298,0.00276047
0.00335555,0.00539416,8.42884e-05,0.00241273,0.00607168
0.0018951,0.00364798,-0.000127291,0.00239667,0.0129179
0.00148081,0.0038838,0.00016133,0.0022775,0.0180259
0.000670635,0.00343233,0.000216523,0.00241769,-0.000599232
0.003051,0.00364857,0.000118136,0.00235615,0.010306
0.00253537,0.00517261,0.000156669,0.00226396,0.00840098
0.0022102,0.00302607,3.01528e-05,0.00232835,-0.00485912
0.00022944,0.00139764,-6.35204e-05,0.00231632,-0.000816411
0.000388303,0.00158247,-0.000118573,0.00234206,-0.00548861
0.00127859,0.00250684,-0.000164834,0.0024874,-0.00751744
0.00255476,0.00275706,4.20333e-05,0.00236288,-0.00183657
0.00178587,0.00337559,-3.84602e-05,0.00230021,0.000672303
0.00114023,0.00198177,-0.000252391,0.00232691,0.00269851
0.000475296,0.0019793,-0.000150972,0.00239634,0.0101171
0.000794463,0.00316357,-0.000113172,0.00236238,0.0010311
0.000416866,0.00192082,1.80235e-05,0.00235532,-0.00963108
0.00110218,0.00181825,-4.16521e-05,0.00247127,-0.00816763
0.000753394,0.00127442,-0.000194155,0.00232902,-0.0236149
-0.000851478,0.00290222,0.000146648,0.0023381,-0.0112052
-0.000396851,0.00203159,1.32096e-05,0.00231246,-0.0154869
8.26111e-05,0.00218298,-0.000124445,0.00238113,-0.00491896
0.000204792,0.00265177,7.95664e-05,0.00233461,-0.00531722
0.000770741,0.00190133,9.37378e-05,0.00232225,-0.0234281
-0.000295371,0.00216931,-2.31934e-05,0.00222165,-0.00734165
-0.000410059,0.00212638,3.3692e-05,0.00231459,-0.00366733
-0.000548419,0.00165864,-0.000175689,0.00242117,-0.0113691
-0.000222671,0.00213528,4.63828e-05,0.00223619,-0.0230119
0.000595564,0.00285652,1.01361e-05,0.00240449,-0.0287863
0.000701398,0.00239637,8.34245e-05,0.00238117,-0.0253326
0.000226019,0.00284664,7.35146e-05,0.00227053,-0.012535
0.00137721,0.00177847,0.000192272,0.00235815,-0.0168843
0.00200638,0.00313174,9.07413e-05,0.00236437,-0.0168627
0.00186089,0.00340072,0.000150579,0.00230549,-0.0079312
0.00149474,0.00163726,-2.10756e-05,0.00237147,-0.0106434
0.000249634,0.00160964,-0.00011937,0.00233312,-0.0246617
0.000308652,0.00197412,-0.000153859,0.00232965,-0.0153521
0.000638509,0.00138495,-0.000229183,0.0023453,0.0101904
-0.000184294,0.00173878,-0.000100349,0.00240748,0.0168273
-0.00020984,0.00173393,-2.1338e-05,0.00228232,0.0132635
-0.00108569,0.00177095,2.43072e-05,0.00249709,0.03179
-0.00083388,0.00280345,-0.000216282,0.00231342,0.0270782
-0.00112099,0.0022757,-0.000103775,0.00238015,0.0263415
-0.00130946,0.00199999,5.46834e-05,0.00222522,0.0260812
-0.000869308,0.00273705,-0.0001963,0.00246277,0.0219005
-0.000559579,0.00219283,-0.000101495,0.00238263,0.0173626
-0.000662619,0.00179595,7.09417e-05,0.00236085,0.0311096
-0.00160906,0.00243974,1.41534e-05,0.00245893,0.00387381
-0.00168606,0.00261806,-0.000246219,0.00238418,-0.00341655
-0.000812788,0.00142561,0.000147998,0.00233733,-0.00562723
0.000480534,0.00220105,0.000114263,0.0022088,-0.00218716
-0.000518043,0.00233114,7.62871e-05,0.0023724,0.00675716
0.000525635,0.00205244,5.94211e-05,0.0023996,-0.00285232
-0.000647066,0.00298482,-0.000168852,0.00235154,-0.00575734
-0.000887874,0.00189514,-0.000224755,0.00220819,0.00426792
0.000142207,0.00195456,-0.000107251,0.00223492,0.00297448
-0.000185487,0.00155301,0.000173885,0.00229242,-0.00177767
0.000338288,0.00274046,-0.000121575,0.00236217,-0.0229012
0.000539452,0.00171126,-0.000110569,0.00231769,-0.029988
-0.000463659,0.00185925,-6.33906e-08,0.00231615,-0.0268029
-0.00094469,0.00194943,5.21266e-05,0.00238752,-0.0422631
3.41233e-05,0.0019691,-5.33239e-05,0.00233175,-0.0285106
0.00014859,0.00153024,-0.000131246,0.00219406,-0.0222553
0.00133762,0.00203268,-0.000132258,0.0022694,-0.017864
0.000692658,0.0015229,8.61467e-05,0.0023558,-0.0179191
-0.000143739,0.00166486,-0.00011462,0.00224854,-0.0204713
-0.000256352,0.00193822,-2.03536e-05,0.00238742,-0.0129381
0.00118264,0.00209604,0.000194715,0.00233693,0.00456381
0.00035403,0.00224369,-3.84827e-05,0.00235616,-0.00101488
0.000275021,0.00190174,-1.75617e-05,0.00234224,0.000420158
0.000753917,0.00227024,4.72668e-05,0.00232175,0.00196982
0.00105576,0.00228039,-6.63667e-05,0.00242152,0.00182873
0.000630089,0.00180547,-9.6985e-05,0.00230609,-0.0207674
0.00078961,0.00209269,-8.16472e-05,0.00237103,-0.0113482
0.000219688,0.00215207,-2.71469e-06,0.00232437,0.00854946
-0.00127795,0.00302783,0.000122293,0.0024683,0.00410892
-0.000263336,0.00341067,-7.14373e-05,0.00236047,0.0117499
-0.000327612,0.00328017,0.000122129,0.0024077,0.00279177
-7.90181e-05,0.0028124,-2.35014e-05,0.00235567,-0.00346412
-5.31028e-05,0.00265443,0.000162813,0.00253283,-0.00378498
-8.34419e-05,0.00260946,6.71779e-05,0.00246881,-0.00399311
-0.000371637,0.00429294,-2.65399e-05,0.00226313,-0.0168585
-0.00137107,0.00393297,9.4244e-05,0.00245947,-0.0273599
-0.000358158,0.00413359,-7.59295e-07,0.00241169,-0.0109851
-0.000572031,0.00347365,-1.70142e-05,0.00244331,-0.016821
-7.01695e-05,0.00241692,8.22845e-05,0.0023535,-0.0341155
-0.000878626,0.00352592,-0.000166394,0.00226826,-0.0314102
-0.000590667,0.00373259,5.15044e-05,0.00239754,-0.0146812
-0.000916557,0.00275267,-3.04994e-05,0.00235081,0.00432659
-0.000689724,0.00270284,-0.000117824,0.00239442,0.0150886
-0.000917722,0.00340203,-0.000261009,0.00239828,0.0211602
-0.000718335,0.00290889,1.40999e-05,0.00241183,0.0207451
-0.00036047,0.00250668,-0.000164753,0.0022952,0.0263812
-0.000873936,0.00236053,1.02648e-05,0.00230883,0.0364869
-0.000791822,0.00158514,7.28582e-05,0.0023117,0.0194692
0.000387726,0.00236642,1.0784e-05,0.00234461,0.0127734
0.000625994,0.00261189,0.000141624,0.00238201,0.0132107
-0.000751302,0.00153065,4.11087e-05,0.00226575,0.0185801
0.000686564,0.0021073,5.92644e-05,0.00222925,0.035004
0.000678705,0.00252449,-8.92153e-05,0.00236222,0.0317164
0.000211713,0.00237407,-8.59864e-05,0.00239175,0.0048175
0.000384275,0.00170785,-9.19315e-05,0.00226258,-0.000102906
-0.00090331,0.00204724,1.62835e-05,0.00223979,-0.00478609
-4.71591e-05,0.002086,8.72274e-05,0.00232617,0.00460953
-0.00035002,0.00201855,-0.000219028,0.00233836,-0.00267355
0.000464643,0.00199104,-0.000110057,0.00226912,0.00219155
-0.000542586,0.00146622,-2.13889e-05,0.00234954,0.00533837
0.000144401,0.00208396,-9.80343e-05,0.00240663,0.00944214
0.00037656,0.00266841,-0.000116829,0.00256345,0.00570579
-0.000557609,0.00223497,-0.000305891,0.00235827,0.00217197
0.000210623,0.00262442,0.000111519,0.00239218,0.0116576
-0.00123769,0.00290239,-0.000112464,0.00232621,0.0124271
-0.00112047,0.00228204,0.000130098,0.00242283,-0.000802817
-0.00172475,0.00248104,-3.32553e-05,0.00238241,-0.0025241
-0.000707504,0.00290641,-7.36526e-05,0.00231558,0.00839195
-0.000685986,0.00243786,-4.81054e-05,0.00245329,-1.46406e-05
-0.00112198,0.00197068,-0.000100453,0.00229057,0.00143901
0.00124902,0.00224782,-2.51049e-05,0.00232322,-0.0111053
0.00145973,0.00187791,0.000138573,0.00228024,0.00565601
0.0015781,0.00376356,0.000144191,0.00242511,0.00258289
0.00186199,0.00255642,3.11314e-05,0.00237855,0.0180132
0.00171766,0.00208732,0.000284697,0.00229574,0.012989
0.00181968,0.0016711,7.03115e-05,0.00226747,0.0068998
0.00223455,0.00203086,2.53242e-05,0.00236609,-0.00480404
0.00109055,0.00245392,-1.4759e-05,0.0024806,-0.0188447
0.000993949,0.00272896,2.73891e-05,0.00244385,-0.016025
8.41856e-05,0.0033646,3.08777e-06,0.0024292,-0.0251237
0.00107874,0.00214154,6.16632e-05,0.00234724,-0.0103657
0.000960651,0.00179542,5.29634e-05,0.00232549,-0.0166515
0.000526046,0.0020897,7.82195e-05,0.0023072,-0.0138566
0.000443956,0.00240968,0.000157366,0.00235087,0.00604619
-0.000107468,0.00187869,7.68688e-05,0.00229427,-0.00579377
0.00039576,0.0023843,7.03922e-05,0.00238746,0.0037061
0.000391455,0.00203858,0.000240541,0.00226855,0.00315072
-0.000552719,0.00248306,-0.000143841,0.00225545,-0.020941
0.000171955,0.00284512,-8.63814e-05,0.00226562,-0.021712
0.00069386,0.00265754,5.83222e-05,0.00228988,-0.019654
-0.000131808,0.00223961,7.40065e-05,0.00233562,0.00740243
-7.43011e-05,0.00194808,0.000175721,0.00216505,0.00893269
0.000170993,0.00249361,4.39788e-05,0.00233931,0.0157042
0.000317748,0.00238763,-7.96005e-06,0.0023455,0.00397839
-0.00128642,0.00260942,-8.38484e-05,0.00237931,0.00632257
-6.18417e-05,0.00242397,3.59051e-05,0.0024501,0.0150959
-0.00138546,0.00187193,-0.000119676,0.0023327,0.0150997
-0.000267847,0.00192261,-5.06686e-05,0.0023762,0.00319542
0.000783643,0.00219719,7.84694e-05,0.00242496,-0.00646034
-0.000266783,0.00271628,0.000154529,0.00228948,-0.00824092
-0.000914491,0.00210079,0.000195899,0.00235598,-0.0043245
-0.000352194,0.00284197,-5.68052e-05,0.00227039,0.00524877
-4.56581e-05,0.00249304,-0.000117072,0.00243993,-0.00727407
0.00019254,0.00211707,2.93285e-06,0.00229694,-0.0124815
6.00616e-05,0.00187046,5.03822e-05,0.00233168,-0.00732813
2.0755e-05,0.00198161,-0.000156046,0.00234307,0.00190984
-0.00028614,0.00214616,-1.61785e-05,0.00233068,0.00330065
-0.000795552,0.00191011,5.9821e-05,0.00230865,-0.00530284
-0.000132022,0.00261715,-2.27454e-05,0.00234293,-0.00914059
0.000304421,0.002617,6.08699e-05,0.00226995,-0.00828718
8.10685e-05,0.00356085,4.38687e-05,0.00237187,-0.0270828
0.000546731,0.00238446,0.000149412,0.00237636,-0.0317736
0.000935744,0.00269406,5.53077e-05,0.00238237,-0.0178122
0.000996657,0.00259275,4.30609e-05,0.00230739,-0.0105325
-8.13253e-05,0.00259781,0.000295351,0.00232005,-0.00221155
0.000170824,0.00226092,0.000198361,0.00234988,-0.0047872
0.000736352,0.0020185,9.42541e-05,0.00230467,-0.0108334
