smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
-0.0159171,1.83973e-16,-0.0159171,1.83973e-16,0.0205427
0.0527492,0.27099,0.0438003,0.293646,0.00484101
-0.0220144,0.477777,0.00581188,0.341437,0.0139068
-0.0541615,0.253448,-0.00764436,0.323046,-0.0040537
-0.030165,0.297015,0.00781912,0.324956,-0.00563336
0.147007,0.200026,-0.00406597,0.34058,-0.0144366
-0.228679,0.241221,-0.00345368,0.335459,-0.0174027
0.118334,0.300194,-0.0294094,0.351829,-0.00243902
0.181315,0.179123,0.0195637,0.332803,0.00276047
0.361932,0.404314,0.0157824,0.333111,0.00607168
0.0400781,0.288035,0.00943759,0.334613,0.0129179
-0.17119,0.192088,-0.0116713,0.32174,0.0180259
0.156923,0.27534,-0.00847823,0.335224,-0.000599232
-0.0494479,0.603245,-0.00968209,0.324078,0.010306
0.164388,0.347886,-0.00208425,0.350704,0.00840098
-0.102965,0.245706,0.00884876,0.332595,-0.00485912
-0.110353,0.298262,-0.0076458,0.332214,-0.000816411
-0.175213,0.403407,0.0229187,0.340744,-0.00548861
0.0874089,0.212752,-0.012949,0.342587,-0.00751744
0.14722,0.0942555,0.00120295,0.331017,-0.00183657
-0.19614,0.39079,-0.00293204,0.343934,0.000672303
0.338725,0.27875,0.0276817,0.324605,0.00269851
0.100556,0.480143,-0.0086407,0.320618,0.0101171
0.136525,0.313795,-0.0138388,0.331165,0.0010311
0.020337,0.192712,-0.00641433,0.336075,-0.00963108
0.053525,0.512773,0.0115518,0.344905,-0.00816763
-0.193532,0.317561,-0.0122846,0.334906,-0.0236149
-0.0753914,0.273369,-0.0112742,0.339516,-0.0112052
0.386814,0.400555,0.0259504,0.342307,-0.0154869
-0.0145224,0.256159,-0.0023561,0.313691,-0.00491896
0.172061,0.294531,-0.0333446,0.333493,-0.00531722
0.0856658,0.344832,-0.0191045,0.341325,-0.0234281
0.0287644,0.292946,-0.0185763,0.347852,-0.00734165
-0.0906975,0.245946,0.0100775,0.341942,-0.00366733
-0.0224745,0.42147,-0.0145552,0.335446,-0.0113691
0.149451,0.359489,-0.00416148,0.330937,-0.0230119
-0.049162,0.359924,0.0213509,0.350627,-0.0287863
-0.13709,0.550244,0.0140384,0.335666,-0.0253326
0.266068,0.291783,-0.0134584,0.350699,-0.012535
-0.0234157,0.288643,-0.000168349,0.326438,-0.0168843
-0.251632,0.388438,0.00523991,0.349633,-0.0168627
0.133036,0.30672,-0.00109772,0.326383,-0.0079312
0.0510713,0.317842,0.000478812,0.342053,-0.0106434
0.0147922,0.197583,-0.00851628,0.334933,-0.0246617
0.0679183,0.33027,0.00550588,0.350001,-0.0153521
-0.096832,0.248768,0.0219344,0.342102,0.0101904
-0.0112715,0.608797,-0.0137431,0.343858,0.0168273
-0.05687,0.286236,-0.00724671,0.335532,0.0132635
-0.109323,0.293148,0.00584536,0.331151,0.03179
0.0733989,0.412257,-0.0145462,0.337182,0.0270782
0.207648,0.318255,0.00167137,0.312208,0.0263415
0.0112538,0.540709,-0.0133745,0.350792,0.0260812
0.0907266,0.240076,0.00852705,0.318118,0.0219005
0.281141,0.353659,0.0408054,0.332516,0.0173626
0.0554159,0.336016,-0.00879351,0.334934,0.0311096
0.151116,0.194987,-0.0155825,0.332376,0.00387381
-0.187086,0.454784,-0.00869594,0.349454,-0.00341655
0.191759,0.409755,0.0180565,0.341587,-0.00562723
-0.0368721,0.467813,-0.00651644,0.337009,-0.00218716
0.0347192,0.220626,0.00808255,0.34292,0.00675716
0.0099277,0.318659,-0.020247,0.343823,-0.00285232
0.11635,0.221819,0.000789176,0.326892,-0.00575734
-0.113534,0.23138,0.00857133,0.338219,0.00426792
0.236316,0.373972,0.0296038,0.335014,0.00297448
-0.00708974,0.32863,-0.0229043,0.331085,-0.00177767
0.238303,0.244397,-0.0243418,0.336229,-0.0229012
0.210084,0.126978,-0.00409703,0.336873,-0.029988
-0.112622,0.298314,0.00578067,0.336643,-0.0268029
-0.0708541,0.49908,-0.00331295,0.320932,-0.0422631
-0.0292779,0.329048,0.0242068,0.331822,-0.0285106
-0.0675554,0.284387,-0.022367,0.31903,-0.0222553
0.0114753,0.322417,0.0166562,0.326403,-0.017864
0.221076,0.334118,-0.0226226,0.335231,-0.0179191
-0.0276923,0.249657,-0.000790802,0.347453,-0.0204713
0.173705,0.275498,0.0328678,0.310749,-0.0129381
-0.0311116,0.197627,-0.0138211,0.31952,0.00456381
0.0245062,0.271927,0.0183151,0.355957,-0.00101488
-0.107758,0.287355,-0.0196544,0.343552,0.000420158
0.115726,0.321266,0.0379954,0.329493,0.00196982
0.0173905,0.258229,0.000243692,0.331886,0.00182873
-0.074253,0.400764,-0.00501061,0.349799,-0.0207674
0.0338367,0.211046,0.0290564,0.330434,-0.0113482
0.0681952,0.237669,-0.00837534,0.325875,0.00854946
0.0420537,0.374709,0.00733282,0.351796,0.00410892
0.0921262,0.324606,-0.014641,0.356312,0.0117499
0.0479075,0.360147,0.0169009,0.329816,0.00279177
-0.0978996,0.243103,-0.00945389,0.347,-0.00346412
-0.094962,0.31035,0.00686791,0.342055,-0.00378498
0.152209,0.308211,0.00695496,0.323323,-0.00399311
-0.0574299,0.358619,-0.001027,0.31301,-0.0168585
-0.144413,0.29172,-0.012834,0.323082,-0.0273599
-0.0714931,0.299096,-0.0152402,0.327207,-0.0109851
0.0467507,0.201067,0.00243874,0.341038,-0.016821
0.178066,0.208278,0.00687752,0.327355,-0.0341155
-0.0436909,0.280897,0.00954834,0.331815,-0.0314102
0.198231,0.24879,-0.0192105,0.354223,-0.0146812
-0.0235567,0.343071,0.0136308,0.325422,0.00432659
0.0628324,0.216735,-0.0170963,0.342366,0.0150886
-0.171357,0.36956,-0.0141361,0.318381,0.0211602
0.0539232,0.406561,-0.00577786,0.343367,0.0207451
-0.265625,0.320818,-0.023621,0.32833,0.0263812
0.0925367,0.339699,0.0106223,0.338205,0.0364869
0.1387,0.277274,-0.00351053,0.330336,0.0194692
-0.0210044,0.400023,0.00972886,0.332627,0.0127734
0.111114,0.39929,0.0420987,0.331588,0.0132107
-0.0853846,0.31787,0.00436337,0.342133,0.0185801
-0.0600088,0.485903,-0.0113748,0.332175,0.035004
0.0715967,0.408925,0.0328528,0.326769,0.0317164
0.141879,0.251912,-0.00372405,0.348858,0.0048175
-0.117259,0.267507,0.000201831,0.336969,-0.000102906
-0.0427032,0.220345,0.000329599,0.339456,-0.00478609
0.0473979,0.346787,-0.019702,0.331719,0.00460953
0.0844959,0.258492,-0.000207364,0.337241,-0.00267355
0.00388787,0.311988,-0.00233297,0.336534,0.00219155
-0.0199537,0.34696,-0.0072249,0.35217,0.00533837
0.117441,0.235559,-0.0106704,0.354121,0.00944214
0.137262,0.333955,-0.0108458,0.343883,0.00570579
0.0488644,0.364169,0.0149564,0.336124,0.00217197
-0.0423098,0.274718,0.00939434,0.317472,0.0116576
0.102124,0.282858,0.0151402,0.343806,0.0124271
-0.00946073,0.398991,-0.0113981,0.327411,-0.000802817
0.129713,0.230787,0.018962,0.349358,-0.0025241
0.0947173,0.306238,0.00294969,0.326906,0.00839195
0.104616,0.338286,0.00664895,0.368387,-1.46406e-05
0.156321,0.269412,-0.00590138,0.333219,0.00143901
0.16155,0.295186,-0.00860761,0.338375,-0.0111053
0.0403805,0.307063,0.0221809,0.325476,0.00565601
-0.00240007,0.292024,0.0261684,0.336887,0.00258289
0.0869892,0.283649,-0.00626755,0.351322,0.0180132
-0.0598224,0.305443,-0.000416961,0.327684,0.012989
0.0574341,0.404541,-0.00961706,0.338421,0.0068998
0.0222148,0.27567,-0.00887798,0.330455,-0.00480404
-0.123605,0.307974,-0.0126073,0.323939,-0.0188447
0.00609037,0.27799,0.0167157,0.342085,-0.016025
0.172232,0.324491,0.00693035,0.327774,-0.0251237
0.00188361,0.362382,0.0119632,0.337699,-0.0103657
-0.0409234,0.36244,-0.0573827,0.350641,-0.0166515
0.0122902,0.28815,-0.00495448,0.335027,-0.0138566
0.00903728,0.370341,0.00625446,0.351764,0.00604619
0.164183,0.353328,0.010077,0.314907,-0.00579377
-0.0943803,0.247145,-0.0148537,0.351156,0.0037061
0.0109252,0.421875,-0.00382853,0.330418,0.00315072
-0.0436472,0.356851,0.00680812,0.333258,-0.020941
0.116829,0.311934,-0.00486631,0.323603,-0.021712
0.104521,0.331592,-0.0038815,0.317155,-0.019654
0.0548142,0.315769,-0.0322566,0.332671,0.00740243
0.044494,0.426206,-0.0260303,0.333946,0.00893269
0.000967222,0.453133,0.00219016,0.33477,0.0157042
-0.0182023,0.414391,-0.00231326,0.333216,0.00397839
0.0720475,0.278744,0.0126686,0.339293,0.00632257
0.0893387,0.397582,0.0247652,0.345548,0.0150959
0.00697254,0.281988,0.00763662,0.328197,0.0150997
0.0309209,0.37904,0.00956297,0.340431,0.00319542
0.0189985,0.354712,-0.0110887,0.336014,-0.00646034
