smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
0.0365417,4.58196e-16,-4.83571e-05,0.0012229,0.0205427
-0.0926122,1.86055e-15,-0.0926122,1.86055e-15,0.00484101
0.063709,0.0121246,0.067945,0.00122911,0.0139068
-0.0452859,0.013049,-0.0498542,0.00134087,-0.0040537
0.0328879,0.0107445,0.0364999,0.0018646,-0.00563336
-0.0240441,0.00834868,-0.0268468,0.000943191,-0.0144366
0.0177815,0.0063971,0.0197354,0.000795835,-0.0174027
-0.0130602,0.00472483,-0.0144317,0.00112573,-0.00243902
0.00962934,0.00332371,0.0106085,0.000869916,0.00276047
-0.00724896,0.00239935,-0.00783678,0.000631751,0.00607168
0.0053611,0.00198239,0.00569816,0.000664436,0.0129179
-0.00391504,0.00138895,-0.00418589,0.000555906,0.0180259
0.00273658,0.00114498,0.00305231,0.000531475,-0.000599232
-0.00208975,0.000974623,-0.00223077,0.000501024,0.010306
0.00169382,0.000820966,0.00162997,0.000493361,0.00840098
-0.00118402,0.000535895,-0.00122556,0.000501121,-0.00485912
0.000949937,0.000425831,0.000911093,0.000508611,-0.000816411
-0.000737115,0.000340188,-0.000682682,0.000501125,-0.00548861
0.000648741,0.000238948,0.000516616,0.000508522,-0.00751744
-0.000498588,0.000267977,-0.000347574,0.000483392,-0.00183657
0.000313492,0.000301286,0.000264482,0.000496553,0.000672303
-0.000262288,0.000490513,-0.000219711,0.000481534,0.00269851
-8.86715e-05,0.000493458,0.000178989,0.000479983,0.0101171
0.000388976,0.00051291,-0.000124185,0.000496318,0.0010311
-0.0003295,0.000542582,9.35001e-05,0.000489696,-0.00963108
0.00030756,0.000543428,-5.66567e-05,0.000480987,-0.00816763
-0.00019767,0.000493105,4.48472e-05,0.00045571,-0.0236149
0.000248421,0.000536385,-1.70476e-05,0.00047376,-0.0112052
-0.000371491,0.000654796,-1.8757e-05,0.000499197,-0.0154869
0.000115429,0.00049632,-3.07766e-05,0.000479034,-0.00491896
-0.000228585,0.000628558,2.00974e-05,0.000461512,-0.00531722
0.000555124,0.000527823,8.92539e-06,0.000483503,-0.0234281
-0.000434921,0.000508395,-1.58886e-05,0.00049086,-0.00734165
0.000335279,0.000495181,1.16731e-05,0.000509282,-0.00366733
-0.000167008,0.000586072,-3.80595e-05,0.000483702,-0.0113691
0.000255422,0.000518562,2.07351e-05,0.00049663,-0.0230119
-0.000271512,0.000341815,-1.58347e-06,0.000494283,-0.0287863
-9.28616e-05,0.000426275,3.58414e-05,0.000488388,-0.0253326
0.00020335,0.0005707,-3.00994e-05,0.000504098,-0.012535
-0.000234133,0.00047232,9.52878e-06,0.000516634,-0.0168843
0.000192867,0.000389755,-1.34256e-05,0.000487871,-0.0168627
-0.00032129,0.000354585,-6.30927e-06,0.000488481,-0.0079312
6.48411e-06,0.000404777,-5.52074e-06,0.000483602,-0.0106434
-0.000191908,0.000595616,3.67641e-05,0.000486198,-0.0246617
0.000295391,0.000704021,-4.92872e-06,0.000483953,-0.0153521
-0.000184681,0.000614199,-1.0391e-05,0.000516226,0.0101904
7.65546e-06,0.000398405,-1.58089e-05,0.000496286,0.0168273
-8.99266e-05,0.000423701,1.51134e-05,0.000493862,0.0132635
8.20197e-05,0.000561771,-2.95488e-05,0.000498638,0.03179
-0.000167323,0.000603074,-1.67032e-05,0.000543871,0.0270782
0.000150285,0.000458887,-4.70861e-06,0.000490265,0.0263415
-4.62998e-05,0.000403088,-1.0782e-05,0.000481789,0.0260812
-0.000108449,0.000575435,1.66162e-05,0.000478371,0.0219005
-0.000192989,0.00053956,-1.68763e-05,0.000467541,0.0173626
2.97371e-05,0.000222568,9.91512e-06,0.000482969,0.0311096
-2.29904e-05,0.000332137,-4.85078e-05,0.000472006,0.00387381
0.000232577,0.000438622,2.39456e-05,0.000466423,-0.00341655
-0.000131878,0.000534772,1.13824e-05,0.0004962,-0.00562723
0.000118632,0.000435011,3.31367e-05,0.000496624,-0.00218716
-0.000351703,0.00055641,-4.07375e-05,0.00050324,0.00675716
0.000200024,0.000462901,9.90866e-06,0.000511245,-0.00285232
-8.17748e-05,0.000283631,-3.17178e-06,0.000531545,-0.00575734
3.88064e-05,0.000385651,7.90669e-06,0.000496364,0.00426792
