smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
0.107102,1.08301e-15,-0.00913949,0.368834,0.107102,1.42079
0.0590303,5.13735e-16,0.0590303,5.13735e-16,0.0590303,-0.81585
0.116869,0.00454925,0.101774,0.0121075,-0.0188692,-1.17682
0.0982893,0.00639031,0.0953425,0.00848268,0.0369335,-1.31632
-0.309491,0.00626104,-0.0206964,0.164827,0.0205597,0.682442
-0.155321,0.044648,-0.0966818,0.20168,-0.103307,1.44077
0.298776,0.0632432,-0.0703565,0.190691,-0.235325,-0.900538
0.171557,0.00954174,0.00480823,0.223856,0.164316,-0.0116207
-0.138652,0.00550192,-0.19472,0.190278,-0.148407,0.0517531
-0.322836,0.0274673,-0.309518,0.135339,0.0343261,0.568826
-0.47348,0.00972639,-0.340495,0.158695,0.0167564,0.547387
-0.397386,0.0734662,-0.294275,0.184643,-0.0110631,-1.39302
-0.620755,0.172095,-0.292562,0.199057,-0.0732312,-0.636048
-0.478762,0.0755366,-0.275488,0.23972,-0.102081,-1.46902
-0.370424,0.0738204,-0.277483,0.24248,-0.144349,-0.368956
-0.363226,0.0984449,-0.269525,0.237382,-0.196125,-1.15273
-0.30947,0.0853262,-0.234013,0.269819,-0.0676117,-1.44901
-0.141443,0.121931,-0.231103,0.255465,-0.0133018,-0.588073
-0.136948,0.0269303,-0.221681,0.274717,-0.00989283,-0.764936
-0.130089,0.058601,-0.216751,0.271866,-0.0303302,-0.651956
-0.28434,0.12288,-0.198161,0.28626,-0.184753,1.17635
-0.404674,0.0100779,-0.178797,0.286971,-0.128572,0.490434
-0.630324,0.170247,-0.177807,0.289955,0.0859668,1.42583
-0.593974,0.0514673,-0.147255,0.29793,0.115774,0.80897
-0.669616,0.0997753,-0.137728,0.291141,0.137004,0.681583
-0.516693,0.0205648,-0.148302,0.303574,0.0451591,-0.0755687
-0.522473,0.0762861,-0.154652,0.292962,0.0955777,-0.859603
-0.298874,0.0940181,-0.173582,0.306193,-0.0148969,-0.280765
-0.277815,0.276493,-0.192767,0.302143,0.278718,0.697704
-0.155924,0.25614,-0.206073,0.290361,0.249017,-0.484702
0.0346057,0.224984,-0.209251,0.271684,0.209247,0.512901
-0.155594,0.13286,-0.201684,0.259846,0.213757,0.824152
-0.0810444,0.0842874,-0.16011,0.28013,0.168524,1.82043
-0.152763,0.167396,-0.140495,0.292575,0.197847,0.984204
-0.163038,0.0125305,-0.128811,0.276996,0.18767,0.0517895
0.0736556,0.0436225,-0.126936,0.286692,0.120158,0.874238
0.0593473,0.016566,-0.11567,0.304347,0.238062,-1.83404
0.310685,0.0525538,-0.114751,0.321608,0.190901,-0.532849
0.462781,0.00583042,-0.0944713,0.32038,-0.0896307,-1.59308
0.400043,0.0618662,-0.0728547,0.321878,0.0745986,-0.79002
0.117686,0.13874,-0.0651315,0.328652,0.146924,1.76809
